slot	gl_symbol	stub_symbol
350	glMultiTexCoord1sARB	MultiTexCoord1s
351	glMultiTexCoord1sv	MultiTexCoord1sv
351	glMultiTexCoord1svARB	MultiTexCoord1sv
352	glMultiTexCoord2d	MultiTexCoord2d
352	glMultiTexCoord2dARB	MultiTexCoord2d
353	glMultiTexCoord2dv	MultiTexCoord2dv
353	glMultiTexCoord2dvARB	MultiTexCoord2dv
354	glMultiTexCoord2f	MultiTexCoord2fARB
354	glMultiTexCoord2fARB	MultiTexCoord2fARB
355	glMultiTexCoord2fv	MultiTexCoord2fvARB
355	glMultiTexCoord2fvARB	MultiTexCoord2fvARB
356	glMultiTexCoord2i	MultiTexCoord2i
356	glMultiTexCoord2iARB	MultiTexCoord2i
357	glMultiTexCoord2iv	MultiTexCoord2iv
357	glMultiTexCoord2ivARB	MultiTexCoord2iv
358	glMultiTexCoord2s	MultiTexCoord2s
358	glMultiTexCoord2sARB	MultiTexCoord2s
359	glMultiTexCoord2sv	MultiTexCoord2sv
359	glMultiTexCoord2svARB	MultiTexCoord2sv
360	glMultiTexCoord3d	MultiTexCoord3d
360	glMultiTexCoord3dARB	MultiTexCoord3d
361	glMultiTexCoord3dv	MultiTexCoord3dv
361	glMultiTexCoord3dvARB	MultiTexCoord3dv
362	glMultiTexCoord3f	MultiTexCoord3fARB
362	glMultiTexCoord3fARB	MultiTexCoord3fARB
363	glMultiTexCoord3fv	MultiTexCoord3fvARB
363	glMultiTexCoord3fvARB	MultiTexCoord3fvARB
364	glMultiTexCoord3i	MultiTexCoord3i
364	glMultiTexCoord3iARB	MultiTexCoord3i
365	glMultiTexCoord3iv	MultiTexCoord3iv
365	glMultiTexCoord3ivARB	MultiTexCoord3iv
366	glMultiTexCoord3s	MultiTexCoord3s
366	glMultiTexCoord3sARB	MultiTexCoord3s
367	glMultiTexCoord3sv	MultiTexCoord3sv
367	glMultiTexCoord3svARB	MultiTexCoord3sv
368	glMultiTexCoord4d	MultiTexCoord4d
368	glMultiTexCoord4dARB	MultiTexCoord4d
369	glMultiTexCoord4dv	MultiTexCoord4dv
369	glMultiTexCoord4dvARB	MultiTexCoord4dv
370	glMultiTexCoord4f	MultiTexCoord4fARB
370	glMultiTexCoord4fARB	MultiTexCoord4fARB
371	glMultiTexCoord4fv	MultiTexCoord4fvARB
371	glMultiTexCoord4fvARB	MultiTexCoord4fvARB
372	glMultiTexCoord4i	MultiTexCoord4i
372	glMultiTexCoord4iARB	MultiTexCoord4i
373	glMultiTexCoord4iv	MultiTexCoord4iv
373	glMultiTexCoord4ivARB	MultiTexCoord4iv
