clib00108;2;hkiel;Write vsnprintf
clib00109;2;hkiel;Write vsprintf
clib00110;2;SDuvan;Write vsscanf
clib00111;2;falemagn;Write write
clib00112;2;falemagn;Write gcvt
clib00113;2;hkiel;Write fgetpos
clib00114;2;falemagn;Write setenv
clib00115;2;hkiel;Write rename
clib00116;2;falemagn;Write fdopen
clib00117;1;falemagn;Write perror
clib00118;2;falemagn;Write access
clib00119;2;falemagn;Write mkdir
clib00118;2;falemagn;Write truncate
clib00119;2;falemagn;Write ftruncate
clib00120;2;falemagn;Write fileno
clib00121;2;hkiel;Write getcwd
clib00122;2;hkiel;Write setbuf
clib00123;2;hkiel;Write setlinebuf
clib00124;2;falemagn;Write setvbuf
clib00125;2;hkiel;Write system
clib00126;2;stegerg;Write stpcpy
clib00127;2;chodorowski;Write stpblk
clib00128;2;chodorowski;Write stpbrk
clib00129;2;chodorowski;Write stpchr
clib00130;2;chodorowski;Write sleep
clib00131;2;chodorowski;Write chdir
clib00132;2;chodorowski;Write atexit
clib00133;2;hkiel;Write bcmp
clib00134;2;chodorowski;Write chmod
clib00135;2;falemagn;Write closedir
clib00136;2;falemagn;Write dup
clib00137;2;falemagn;Write dup2
clib00138;2;verhaegs;Write fcntl
clib00139;2;falemagn;Write freopen
clib00140;2;hkiel;Write fsetpos
clib00141;2;SDuvan;Write fstat
clib00142;2;chodorowski;Write isatty
clib00143;2;falemagn;Write lseek
clib00144;2;verhaegs;Write mktime
clib00145;2;falemagn;Write opendir
clib00146;2;falemagn;Write pipe
clib00147;2;iaint;Write putchar
clib00148;2;falemagn;Write putenv
clib00149;2;falemagn;Write random
clib00150;2;falemagn;Write readdir
clib00151;2;falemagn;Write rewinddir
clib00152;2;falemagn;Write seekdir
clib00153;2;falemagn;Write stat
clib00154;2;falemagn;Write strftime
clib00155;2;falemagn;Write telldir
clib00156;2;falemagn;Write umask
clib00157;2;falemagn;Write unsetenv
clib00158;2;falemagn;Write utime
clib00159;2;falemagn;Write utimes
clib00160;2;verhaegs;Write div
clib00161;2;verhaegs;Write ldiv
clib00162;0;hkiel;Write fchmod
clib00163;1;bergers;Write sigaction
clib00164;1;bergers;Write sigaddset
clib00165;1;bergers;Write sigemptyset
clib00166;1;bergers;Write sigdelset
clib00167;1;bergers;Write sigfillset
clib00168;1;bergers;Write sigismember
clib00169;1;bergers;Write sigpending
clib00170;1;bergers;Write sigprocmask
clib00171;1;bergers;Write sigsuspend
clib00172;2;hkiel;Write stpsym
c00000;2;srittau;Write C:AddBuffers
c00001;2;laguest;Write C:Alias
c00002;2;srittau;Write C:Ask
c00003;2;SDuvan;Write C:Assign
c00004;2;matthias;Write C:Avail
c00005;2;iaint;Write C:Break
c00006;2;matthias;Write C:Cd
c00007;2;Dirk Stoecker,SDuvan;Write C:Copy
c00008;1;laguest;Write C:CPU
c00009;2;srittau;Write C:Date
c00010;2;SDuvan;Write C:Delete
c00011;1;digulla,SDuvan;Write C:Dir
c00012;2;matthias;Write C:Echo
c00013;2;SDuvan;Write C:Else
c00014;2;SDuvan;Write C:Endif
c00015;2;SDuvan;Write C:EndSkip
c00016;2;SDuvan;Write C:Eval
c00017;1;matthias;Write C:Execute
c00018;2;iaint;Write C:Fault
c00019;2;laguest;Write C:Filenote
c00020;2;laguest;Write C:Get
c00021;2;laguest;Write C:GetEnv
c00022;2;SDuvan;Write C:If
c00023;2;Stephan Rupprecht,SDuvan;Write C:Info
c00024;2;chodorowski,SDuvan;Write C:Join
c00025;2;SDuvan;Write C:Lab
c00027;2;matthias,bergers,SDuvan,stegerg;Write C:List
c00028;2;SDuvan;Write C:MakeLink
c00029;2;matthias,SDuvan;Write C:MakeDir
c00030;2;matthias;Write C:Mount
c00031;2;matthias;Write C:NewShell
c00032;2;matthias;Write C:Path
c00033;2;SDuvan;Write C:Prompt
c00034;2;laguest,SDuvan;Write C:Protect
c00035;2;SDuvan;Write C:Quit
c00036;2;SDuvan;Write C:Relabel
c00037;2;laguest,SDuvan;Write C:Rename
c00038;2;laguest;Write C:RequestChoice
c00039;2;laguest;Write C:RequestFile
c00040;2;matthias,SDuvan;Write C:Run
c00041;2;Neil Cafferkey;Write C:Search
c00042;2;laguest;Write C:Set
c00043;2;srittau;Write C:SetClock
c00044;2;SDuvan;Write C:SetDate
c00045;2;laguest;Write C:SetEnv
c00046;1;SDuvan;Write C:Shell
c00047;2;SDuvan;Write C:Skip
c00048;2;bergers;Write C:Sort
c00049;2;SDuvan;Write C:Stack
c00050;2;SDuvan;Write C:Status
c00051;2;matthias;Write C:Type
c00052;2;laguest;Write C:UnAlias
c00053;2;laguest;Write C:UnSet
c00054;2;laguest;Write C:UnSetEnv
c00055;1;srittau;Write C:Version
c00056;2;hkiel;Write C:Wait
c00057;2;SDuvan;Write C:Which
c00058;2;srittau;Write C:Why
c00059;2;hkiel;Write C:Beep
c00060;1;stegerg;Write C:IPrefs
colorwheel00000;2;lbischoff;Write ConvertHSBToRGB
colorwheel00001;2;lbischoff;Write ConvertRGBToHSB
colorwheel00002;2;stegerg;Write colorwheel.gadget class
gradientslider00001;2;stegerg;Write gradientslider.gadget class
commodities00000;2;SDuvan;Write CreateCxObj
commodities00001;2;SDuvan;Write CxBroker
commodities00002;2;SDuvan;Write ActivateCxObj
commodities00003;2;SDuvan;Write DeleteCxObj
commodities00004;2;SDuvan;Write DeleteCxObjAll
commodities00005;2;SDuvan;Write CxObjType
commodities00006;2;SDuvan;Write CxObjError
commodities00007;2;SDuvan;Write ClearCxObjError
commodities00008;2;SDuvan;Write SetCxObjPri
commodities00009;2;SDuvan;Write AttachCxObj
commodities00010;2;SDuvan;Write EnqueueCxObj
commodities00011;2;SDuvan;Write InsertCxObj
commodities00012;2;SDuvan;Write RemoveCxObj
commodities00013;2;SDuvan;Write SetTranslate
commodities00014;2;SDuvan;Write SetFilter
commodities00015;2;SDuvan;Write SetFilterIX
commodities00016;2;SDuvan;Write ParseIX
commodities00017;2;SDuvan;Write CxMsgType
commodities00018;2;SDuvan;Write CxMsgData
commodities00019;2;SDuvan;Write CxMsgID
commodities00020;2;SDuvan;Write DivertCxMsg
commodities00021;2;SDuvan;Write RouteCxMsg
commodities00022;2;SDuvan;Write DisposeCxMsg
commodities00023;2;SDuvan;Write InvertKeyMap
commodities00024;2;SDuvan;Write AddIEvents
commodities00025;2;SDuvan;Write MatchIX
commodities00026;2;SDuvan;GetBrokerList
commodities00027;2;SDuvan;FreeBrokerList
commodities00028;2;SDuvan;CxNotify
console00000;1;UNKNOWN;Write CDInputHandler
console00001;2;digulla;Write RawKeyConvert
datatypes00000;2;SDuvan;Write ObtainDataTypeA
datatypes00001;2;SDuvan;Write ReleaseDataType
datatypes00002;2;SDuvan;Write NewDTObjectA
datatypes00003;2;SDuvan;Write DisposeDTObject
datatypes00004;2;SDuvan;Write SetDTAttrsA
datatypes00005;2;SDuvan;Write GetDTAttrsA
datatypes00006;2;SDuvan;Write AddDTObject
datatypes00007;2;SDuvan;Write RefreshDTObjectA
datatypes00008;2;SDuvan;Write DoAsyncLayout
datatypes00009;2;SDuvan;Write DoDTMethodA
datatypes00010;2;SDuvan;Write RemoveDTObject
datatypes00011;2;SDuvan;Write GetDTMethods
datatypes00012;2;SDuvan;Write GetDTTriggerMethods
datatypes00013;2;SDuvan;Write PrintDTObjectA
datatypes00014;2;SDuvan;Write GetDTString
